"","Longitude","Latitude","AreaKM2","prediction"
"1",-13.99998854,-39.97738914,151724.8938,0
"2",-25.99998854,52.02261086,122178.9993,0
"3",-117.9999885,80.02261086,34562.55864,0
"4",74.00001146,-31.97738914,167655.0629,0
"5",-10.16956752,3.820825091,172379.8637,224
"6",42.00001146,-51.97738914,122301.2318,0
"7",126.1689468,12.08126747,167621.7823,276
"8",26.00001146,-39.97738914,151724.8938,0
"9",-61.99876686,-55.97816596,111118.7471,48
"10",-94.00000289,0.022599112,196904.8,33
"11",86.00001146,80.02261086,34562.55864,0
"12",-125.9999885,-59.97738914,99515.12206,0
"13",126.0007703,16.02343874,189369.6807,224
"14",170.000033,0.022652324,196896.989,14
"15",50.00001146,84.02261086,20778.85581,0
"16",46.00001146,-43.97738914,142614.132,0
"17",82.55726146,8.210545822,134153.5568,371
"18",162.0000115,48.02261086,132676.5593,0
"19",42.00001146,-63.97738914,87327.93592,0
"20",-6.495772811,35.69956109,71970.27812,205
"21",98.00001146,-63.97738914,87327.93592,0
"22",126.2053031,-66.37127174,13934.51877,0
"23",-149.9999879,-7.977383247,195050.3834,10
"24",-81.99998854,-55.97738914,111191.639,0
"25",-61.99897757,20.02440074,185116.288,109
"26",-89.99998854,-3.977389136,196444.6159,24
"27",2.000011459,68.02261086,74544.74404,10
"28",-122.1147035,76.22278932,37445.09397,0
"29",2.832097953,6.198789141,10966.20224,233
"30",-99.44140121,-75.14307501,1319.444374,0
"31",106.444018,10.27051892,11776.21075,357
"32",34.00001146,-43.97738914,142614.132,0
"33",122.1211726,0.21132112,135009.3945,233
"34",58.00001146,-59.97738914,99515.12208,0
"35",-85.99998854,-43.97738914,142614.132,0
"36",-129.9999885,12.02261086,192698.9312,0
"37",-133.9999885,8.022610864,195029.8994,0
"38",-92.31333502,57.5691676,3916.714213,0
"39",-113.9999885,-35.97738914,160083.8016,0
"40",162.0000115,80.02261086,34562.55864,0
"41",-153.9999885,-63.97738914,87327.93592,0
"42",-2.593090202,48.20584876,61775.80703,105
"43",22.00001146,-59.97738914,99515.12206,0
"44",-17.99998854,56.02261086,111062.6969,14
"45",-149.9999885,-55.97738914,111191.639,0
"46",174.0000115,76.02261086,48164.88123,0
"47",-121.9999885,-43.97738914,142614.132,0
"48",-170.0001433,-19.97848897,185126.4021,43
"49",-141.9999885,52.02261086,122178.9993,0
"50",-89.99998854,-43.97738914,142614.132,0
"51",-97.99998854,-59.97738914,99515.12206,0
"52",121.8262874,-15.77200491,164516.111,357
"53",-5.999988541,-27.97738914,174407.0449,0
"54",49.30899887,-66.6430422,17043.7492,0
"55",-161.9999885,-59.97738914,99515.12208,0
"56",-165.9999885,20.02261086,185294.9959,0
"57",10.21256204,39.96397297,124340.3488,186
"58",17.22523955,69.37798861,12405.44092,24
"59",-49.99998854,-67.97738914,74689.95952,0
"60",166.0000115,-55.97738914,111191.639,5
"61",-77.99998854,-55.97738914,111191.639,0
"62",-117.9999885,-39.97738914,151724.8938,0
"63",-41.99998854,-35.97738914,160083.8017,0
"64",-21.99998854,-39.97738914,151724.8937,0
"65",-37.99998854,-71.97738914,61664.38729,0
"66",-85.99998854,-39.97738914,151724.8938,0
"67",170.0000115,-3.977389136,196444.6159,0
"68",158.3111356,51.31485551,68700.83531,5
"69",134.3679695,42.7205338,43856.91162,48
"70",-109.9173936,73.23528354,20671.63122,0
"71",-9.999988541,-63.97738914,87327.9359,0
"72",42.00001146,-59.97738914,99515.12208,0
"73",-113.9999885,8.022610864,195029.8994,0
"74",-177.9999885,-3.977389136,196444.6159,0
"75",-13.73648415,63.73313502,70108.90819,38
"76",156.5609481,57.54044317,7504.215815,5
"77",2.000011459,72.02261086,61515.16273,0
"78",-1.999988541,-47.97738914,132791.5122,0
"79",101.9744067,80.42455266,25543.38427,0
"80",-57.99995327,-59.97305032,99310.05432,0
"81",-77.99998854,-23.97738914,180312.2015,0
"82",-21.99998854,-11.97738914,192730.4345,0
"83",170.0000423,-11.97738132,192725.4358,33
"84",6.000011459,-11.97738914,192730.4345,0
"85",178,-23.97738914,180311.1684,0
"86",-5.999988541,-3.977389136,196444.6159,0
"87",92.91243971,19.14158715,52368.79493,352
"88",126.0000115,-47.97738914,132791.5122,0
"89",-123.1899696,48.43309982,12732.9836,38
"90",-141.9999885,36.02261086,159993.6391,0
"91",5.996191823,0.020484685,195854.878,152
"92",122.0000115,-43.97738914,142614.132,0
"93",-37.99999164,-51.97736716,122299.9465,0
"94",62.00001146,-11.97738914,192730.4345,24
"95",34.34121462,68.5090043,17706.31528,5
"96",146.0000115,28.02261086,174335.3955,0
"97",102.0000115,-27.97738914,174407.0449,0
"98",-53.99998854,56.02261086,111062.6969,10
"99",14.00001146,84.02261086,20778.85581,0
"100",-165.9999885,-47.97738914,132791.5122,0
"101",-21.99998854,12.02261086,192698.9311,10
"102",135.6806686,54.87522296,2472.010783,5
"103",125.9910976,28.03092594,173434.9048,304
"104",-5.999988541,-51.97738914,122301.2318,0
"105",82.00001146,-35.97738914,160083.8016,0
"106",110.0000115,-39.97738914,151724.8937,0
"107",42.00001146,72.02261086,61515.16273,0
"108",-145.9999885,80.02261086,34562.55864,0
"109",150.0000115,80.02261086,34562.55864,0
"110",154.0000115,-15.97738914,189491.6891,76
"111",149.9995576,8.022784025,194962.3356,38
"112",-77.88731531,31.90009355,155420.9957,166
"113",-118.4528453,71.22300471,24688.6968,0
"114",-38.04220477,-79.49253928,26623.19975,0
"115",62.00001146,-35.97738914,160083.8017,0
"116",-121.9999885,-63.97738914,87327.93592,0
"117",18.00001146,-43.97738914,142614.132,0
"118",-49.99998854,-71.97738914,61664.38731,0
"119",-45.99998854,4.022610864,196434.0627,166
"120",-33.99998854,-19.97738914,185346.9753,62
"121",-5.878402842,3.470593567,140635.0673,238
"122",-157.9999885,52.02261086,122178.9993,10
"123",94.00001146,-43.97738914,142614.132,0
"124",-169.9929349,-11.96980917,191978.3737,52
"125",-65.98788786,72.03561252,61053.81932,0
"126",-89.99998854,-11.97738914,192730.4345,0
"127",66.00001146,-59.97738914,99515.12206,0
"128",66.00001146,-19.97738914,185346.9753,10
"129",-138.5853402,58.63570686,23658.60183,14
"130",14.28050957,53.85888935,1109.35742,10
"131",-17.99998854,60.02261086,99380.08521,14
"132",-58.00791792,72.01508917,61256.47419,0
"133",-125.9999885,0.022610864,196906.2158,0
"134",-69.99998854,36.02261086,159993.6391,10
"135",-129.9999885,-55.97738914,111191.639,0
"136",-1.999988541,-67.97738914,74689.95952,0
"137",-56.79830902,-36.03332986,42922.78337,209
"138",110.0502773,19.86853597,120817.5266,371
"139",50.00001146,-7.977389136,195050.9669,81
"140",146.0000115,36.02261086,159993.6391,0
"141",39.56890984,-5.079794602,19360.96145,205
"142",138.0000115,16.02261086,189449.8681,0
"143",62.00001146,4.022610864,196434.0627,0
"144",-146.0004371,-15.97762273,189306.2305,57
"145",-5.999521688,72.02282038,61499.9413,10
"146",18.72192101,60.02451001,56362.06723,5
"147",-69.77517581,20.43051724,133811.001,109
"148",-165.9999885,-55.97738914,111191.639,0
"149",21.3289268,56.88863607,36208.14872,5
"150",42.00001146,-27.97738914,174407.0449,57
"151",166.3869033,-71.51954248,17201.02366,0
"152",-17.99998854,-31.97738914,167655.0629,0
"153",86.00001146,0.022610864,196906.2159,0
"154",-117.990692,-71.95191847,60937.90427,0
"155",174.3579521,69.9413332,2318.124957,0
"156",-110.0000086,12.02265538,192693.9292,0
"157",162.0000115,-51.97738914,122301.2318,5
"158",-105.9999885,-23.97738914,180312.2015,0
"159",-161.9472819,-83.10086336,10258.38988,0
"160",-101.9999885,-15.97738914,189491.6891,0
"161",165.9995769,-51.98251101,121784.3494,19
"162",-44.33335722,-2.437840738,4945.482341,171
"163",-162.0365539,56.0994785,97667.61516,14
"164",170.0000138,12.02263258,192695.2501,33
"165",142.0000446,32.02264073,167570.6517,48
"166",-45.99998854,48.02261086,132676.5593,10
"167",-165.9999885,-39.97738914,151724.8938,5
"168",-13.99998854,-43.97738914,142614.132,0
"169",110.0000115,-23.97738914,180312.2014,43
"170",69.83089897,-71.10715516,28204.57173,0
"171",100.6090484,-66.1913103,2534.058093,0
"172",-29.99998854,-27.97738914,174407.0449,0
"173",-80.90156611,52.93872239,30021.88055,0
"174",-14.00086268,-35.97682391,160004.3051,0
"175",-53.99998854,-75.97738914,48317.35191,0
"176",-25.99998854,12.02261086,192698.9312,10
"177",-45.99998854,12.02261086,192698.9312,0
"178",6.000011459,72.02261086,61515.16271,5
"179",-126.875566,50.95940869,10116.31007,33
"180",-145.9999885,44.02261086,142506.9822,0
"181",-45.99998854,16.02261086,189449.8681,0
"182",-89.99998854,8.022610864,195029.8994,5
"183",-53.99998854,-39.97738914,151724.8937,176
"184",50.00187439,-23.97920822,180138.6045,157
"185",-5.999988541,-23.97738914,180312.2015,0
"186",38.00001146,-51.97738914,122301.2318,0
